78,56,62
77,55,60
80,59,56
79,60,56
78,59,58
79,61,52
79,61,55
78,59,57
79,59,57
79,59,56
77,61,57
79,61,56
80,58,58
79,58,60
76,59,57
78,60,56
79,59,57
78,61,57
77,60,59
76,59,59
78,59,60
79,58,61
78,60,57
77,60,58
77,66,56
80,62,56
80,59,56
78,58,59
79,59,56
80,61,54
77,59,55
76,61,60
76,61,61
78,60,58
79,58,59
77,58,64
77,54,63
77,59,58
75,61,61
75,59,62
77,61,51
76,61,51
75,61,56
76,62,54
73,61,59
74,60,61
73,63,59
77,64,55
76,59,59
71,56,58
70,57,59
72,57,59
73,58,52
