80,59,56
82,59,56
81,57,60
81,57,59
82,63,52
82,60,52
83,61,52
81,61,57
81,63,55
83,60,55
83,61,58
81,61,59
83,62,56
84,60,59
84,60,57
83,61,56
84,60,58
84,62,57
83,61,57
83,61,58
85,62,57
83,61,60
83,61,59
84,62,58
85,62,58
84,61,64
84,62,61
87,63,56
86,62,58
86,62,59
86,61,63
86,60,64
85,62,63
84,63,62
85,62,65
87,61,62
85,61,66
86,63,63
85,62,62
84,61,65
85,64,63
83,63,64
82,62,66
82,62,67
83,62,66
83,64,63
83,67,58
83,64,60
82,64,61
82,64,61
83,64,63
84,63,63
83,60,65
